topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,attack_type,cases,TP,FP,TN,FN,attack_recall,benign_false_revocation_rate
urban_roundabout,40,1006,centralized_remote_0ms_control,0.0,speed_offset,3,2,0,1,0,1.0,0.0
urban_roundabout,40,1006,centralized_remote_100ms,100.0,benign,65,0,0,65,0,,0.0
urban_roundabout,40,1006,centralized_remote_100ms,100.0,false_denm,1,0,0,0,1,0.0,
urban_roundabout,40,1006,centralized_remote_100ms,100.0,flood,1,0,0,1,0,,0.0
urban_roundabout,40,1006,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,40,1006,centralized_remote_100ms,100.0,replay,3,2,1,0,0,1.0,1.0
urban_roundabout,40,1006,centralized_remote_100ms,100.0,speed_offset,3,2,0,1,0,1.0,0.0
urban_roundabout,40,1006,distributed_density_honest,,benign,65,0,0,65,0,,0.0
urban_roundabout,40,1006,distributed_density_honest,,false_denm,1,0,0,0,1,0.0,
urban_roundabout,40,1006,distributed_density_honest,,flood,1,0,0,1,0,,0.0
urban_roundabout,40,1006,distributed_density_honest,,mixed,3,0,0,0,3,0.0,
urban_roundabout,40,1006,distributed_density_honest,,replay,3,2,1,0,0,1.0,1.0
urban_roundabout,40,1006,distributed_density_honest,,speed_offset,3,2,0,1,0,1.0,0.0
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,benign,61,0,0,61,0,,0.0
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,false_denm,1,0,0,0,1,0.0,
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,flood,1,0,0,1,0,,0.0
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,position_offset,3,0,0,3,0,,0.0
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,replay,3,2,1,0,0,1.0,1.0
urban_roundabout,40,1007,centralized_remote_0ms_control,0.0,speed_offset,3,2,0,1,0,1.0,0.0
